offset,length,text,translation
0x87590,54,データがアップロードされていません。,未上传数据。
0x875c8,51,アップロードをキャンセルしました。,已取消上传。
0x875fc,51,ダウンロードをキャンセルしました。,已取消下载。
0x87630,91,"「PSN」からサインアウトされました。
アップロードを中断します。",已从「PSN」登出。将中断上传。
0x8768c,91,"「PSN」からサインアウトされました。
ダウンロードを中断します。",已从「PSN」登出。将中断下载。
0x876e8,90,他者のセーブデータを使用中のため、アップロードはできません。,由于正在使用他人的保存数据，无法上传。
0x87744,90,他者のセーブデータを使用中のため、ダウンロードはできません。,由于正在使用他人的保存数据，无法下载。
0x877f0,30,ダウンロード中です...,正在下载...
0x87810,42,アップロードが完了しました。,上传已完成。
0x8783c,42,ダウンロードが完了しました。,下载已完成。
0x87868,69,アップロードされていたデータは破損しています。,上传的数据已损坏。
0x896a4,30,ひぐらしのなく頃に粋,寒蝉鸣泣之时粹
0x896d4,69,セーブデータが破損しているため、上書きします。,由于保存数据已损坏，将会被覆盖。
0x8971c,18,セーブデータ,保存数据
0x89730,54,「ひぐらしのなく頃に粋」セーブデータ,「寒蝉鸣泣之时粹」保存数据
0x89774,115,"セーブデータのロードに失敗しました。
最初からゲームを始めてもよろしいですか？",读取保存数据失败。要从头开始游戏吗？
