file,text,translation,a,b,c,d,note
qlv0_01,今､何問目？,现在是第几题？,"1問目
第1题","1問目
第1题","6問目
第6题","5問目
第5题",
qlv1_01,"レナと魅音が持ってきてくれた
おはぎは何個？",蕾娜和魅音送来的萩饼有几个？,"5個
5个","4個
4个","3個
3个","12個
12个",
qlv1_02,"圭ーがセブンスマートで買った
ラーメンは何？","圭一在 Seven Mart 买的拉面
是什么口味？","豚骨ショウガ味
豚骨生姜味","醤油味
酱油味","塩味
盐味","カレー
咖喱",
qlv1_03,"バラバラ殺人。
見つからなかったのは､
現場監督の何？","碎尸杀人案中，
没有被找到的
是现场监督的什么部位？","右腕
右臂","頭
头","左腕
左臂","明日
明日",
qlv1_04,南井巴は｢染伝し編｣当時､何歳？,南井巴在｢染传篇｣里是多少岁？,"29歳
29岁","28歳
28岁","25歳
25岁","永遠の17歳
永远的17岁",
qlv1_05,藤田刑事の奥さんの名前は？,藤田警官的妻子名字叫什么？,"祐子
祐子","洋子
洋子","路子
路子","優子
优子",
qlv1_06,園崎家のお手伝いさんは？,园崎家的佣人是谁？,"沁子
沁子","ミタ
三田","芳子
芳子","幸子
幸子",
qlv1_07,"魅音の親戚､
おもちゃ屋さんは誰？","魅音的亲戚中，
开玩具店的是谁？","善郎
善郎","弘
弘","義郎
义郎","三郎
三郎",
qlv1_08,"魅音の親戚､
エンジエルモートの経営者は？","魅音的亲戚中，
Angel Mort 的经营者是谁？","義郎
义郎","善郎
善郎","弘
弘","三郎
三郎",
qlv1_09,入江が監督をやっているのは？,入江担任监督的棒球队是哪一个？,"ファイターズ
Fighters","ライオンズ
Lions","タイガース
Tigers","アフィリアーズ
Afilias",
qlv1_10,亀田の下の名前は？,龟田的名字是？,"幸一
幸一","進一
进一","剛
刚","秀樹
秀树",
qlv1_11,"分校の先生､知恵留美子。
好きなものは？","分校的老师知惠留美子，
喜欢的东西是？","カレー
咖喱","鯛焼き
鲷鱼烧","バニラアイス
香草冰淇淋","お米
大米",
qlv1_12,沙都子の苦手な食べ物は？,沙都子讨厌的食物是？,"かぼちゃ
南瓜","ブロッコリー
西兰花","カリフラワー
花椰菜","ロマネスコ
罗马花椰菜",
qlv1_13,固有結界が使えないのは？,无法使用固有结界的是？,"夏美
夏美","圭一
圭一","入江
入江","陸
陆",
qlv1_14,"梨花は｢賽殺し編｣以外では､
何代目の巫女？","梨花在｢赛杀篇｣之外，
是第几代巫女？","8代目
第8代","7代目
第7代","3代目
第3代","9代目
第9代",
qlv1_15,"レナの大好きな､ランディイくん人形。
それは何？","礼奈最喜欢的肯太人偶，
是什么形象？","白ヒゲのおっさん
白胡子大叔","ゾウの子ども
小象","舌を出した女の子
伸出舌头的女孩子","ピエロみたいな男
像小丑一样的男人",
qlv1_16,圭一のお父さんの職業は？,圭一父亲的职业是？,"同人作家
同人作家","画家
画家","彫刻家
雕刻家","遊び人
玩乐者",
qlv1_17,"私服姿で､
帽子をかぶっているのは？",穿私服时戴着帽子的是？,"レナ
蕾娜","魅音
魅音","沙都子
沙都子","梨花
梨花",
qlv1_18,髪にカチューシャをしているのは？,头上戴着发箍的是？,"沙都子
沙都子","魅音
魅音","レナ
蕾娜","梨花
梨花",
qlv1_19,制服姿で､蝶ネクタイは？,穿制服时戴着蝴蝶结的是？,"梨花
梨花","魅音
魅音","レナ
蕾娜","沙都子
沙都子",
qlv1_20,私服姿で､短パンなのは？,穿私服时穿着短裤的是？,"沙都子
沙都子","魅音
魅音","レナ
蕾娜","梨花
梨花",
qlv1_21,私服姿で､ジーパンなのは？,穿私服时穿着牛仔裤的是？,"魅音
魅音","レナ
蕾娜","沙都子
沙都子","梨花
梨花",
qlv1_22,私服姿､セーターを着ているのは？,穿私服时穿着毛衣的是？,"詩音
诗音","魅音
魅音","レナ
蕾娜","沙都子
沙都子",
qlv1_23,"竜宮レナ､
茨城でどんな事件を起こした？",龙宫蕾娜在茨城引发了什么事件？,"傷害
伤人","窃盗
窃盗","放火
放火","殺人
杀人",
qlv1_24,園崎お魎､通り名は園崎｢なに｣？,园崎魉的别号是园崎｢什么｣？,"明王
明王","帝王
帝王","界王
界王","覇王
霸王",
qlv1_25,"雛見沢の建物のつくりは､
｢なに｣造り？","雏见泽的建筑构造
是｢什么｣造？","合掌
合掌","合唱
合唱","合従
合纵","楽笑
合笑","这四个读音都是gassho
于是最后一个本地化为合笑"
qlv1_26,綿流しのお祭り､何を流していた？,绵流祭上流放的是什么？,"綿
绵","罪
罪","臓物
内脏","涙
泪",
qlv1_27,"綿流しのお祭り､
梨花が鍬で裂いていたのは何？","绵流祭上，
梨花用耙子划开的是什么？","布団
被子","ニワトリ
鸡","人
人","国旗
国旗",
qlv1_28,"｢祟殺し編｣終盤､沙都子は
北条家のどこで発見された？","｢祟杀篇｣结尾，沙都子
在北条家的哪里被发现？","風呂場
浴室","台所
厨房","庭
庭院","居間
客厅",
qlv1_29,"佐伯千紗登､
実家は何をやっている？","佐伯千纱登的老家
是开什么的？","総合病院
综合医院","宝石店
宝石店","レストラン
餐厅","製薬会社
制药公司",
qlv1_30,"佐伯千紗登､
亡くなった妹の名前は？","佐伯千纱登去世的妹妹
名字叫什么？","佳織
佳织","沙織
沙织","伊織
伊织","詩織
诗织",
qlv1_31,"この中で､
垣内署の刑事でないのは誰？","这些人当中，
谁不是垣内署的刑警？","松岡
松冈","高屋敷
高屋敷","安藤
安藤","嶋
岛",
qlv1_32,"圭一のトラウマになっている
おもちやは？",成为圭一心理阴影的玩具是？,"モデルガン
模型枪","パチンコ
弹珠机","麻雀
麻将","トランプ
扑克牌",
qlv1_33,部活でやらなかった遊びはどれ？,社团活动没玩过的游戏是哪一个？,"ベーゴマ
陀螺","ゾンビ鬼
僵尸鬼","大富豪
大富豪","犯人探し
寻找犯人",
qlv1_34,"｢鬼隠し編｣で､
圭一が身を守るために
使ったものは？","｢鬼隐篇｣中，
圭一为了防身而使用的是什么？","金属バット
金属球棒","鉈
柴刀","斧
斧头","スタンガン
电击枪",
qlv1_35,前原藍子の声優さんは？,前原蓝子的声优是谁？,"松井菜桜子
松井菜樱子","前田愛
前田爱","水野理紗
水野理纱","井上麻里奈
井上麻里奈",
qlv1_36,"コミックの購入特典になった
外伝はどれ？",成为漫画购买特典的外传是哪一个？,"猫殺し編
猫杀篇","村崩し編
村崩篇","幸遠し編
幸远篇","夢交し編
梦交篇",
qlv1_37,絆シリーズ第一巻､出たのは何年？,｢绊｣系列第一卷，是在哪一年发售的？,"2008年
2008年","2007年
2007年","2009年
2009年","2010年
2010年",
qlv1_38,｢嘆きノ森｣､歌ったのは誰？,｢嘆きノ森｣是谁演唱的？,"彩音
彩音","いとうかなこ
伊藤香奈子","Cyua
Cyua","諫山実生
谏山实生",
qlv1_39,"ひぐらしのなく頃に絆､
第一巻は？","｢寒蝉鸣泣之时 绊｣
第一卷的副标题是？","祟
祟","想
想","螺
螺","絆
绊",
qlv1_40,"｢追想のディスペア｣､
歌ったのは誰？","｢追想のディスペア｣
是谁演唱的？","いとうかなこ
伊藤香奈子","彩音
彩音","Cyua
Cyua","諫山実生
谏山实生",
qlv1_41,"この文字､なんて読む？

興宮","下面两个字在游戏里怎么念？

興宮","おきのみや
okinomiya","こうみや
kōmiya","きょうみや
kyōmiya","こうぐう
kōgū",
qlv1_42,"この文字､なんて読む？

鹿骨","下面两个字在游戏里怎么念？

鹿骨","ししぼね
shishibone","かこつ
kakotsu","しかほね
shikahone","ろっこつ
rokkotsu",
qlv1_43,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"レナ
蕾娜","魅音
魅音","沙都子
沙都子","梨花
梨花",
qlv1_44,この絵の制服を着ているのは？,这幅图像中穿着制服的是谁？,"魅音
魅音","レナ
蕾娜","沙都子
沙都子","梨花
梨花",
qlv1_45,このキャラは誰？,这个角色是谁？,"圭一
圭一","悟史
悟史","幸助
幸助","誠
诚",
qlv1_46,このキャラは誰？,这个角色是谁？,"レナ
蕾娜","魅音
魅音","梨花
梨花","文乃
文乃",
qlv1_47,このキャラは誰？,这个角色是谁？,"魅音
魅音","レナ
蕾娜","沙都子
沙都子","伊豆湖
伊豆湖",
qlv1_48,このキャラは誰？,这个角色是谁？,"沙都子
沙都子","梨花
梨花","レナ
蕾娜","ようこ
阳子",
qlv1_49,このキャラは誰？,这个角色是谁？,"梨花
梨花","沙都子
沙都子","夏美
夏美","むろみ
室见",
qlv1_50,このキャラは誰？,这个角色是谁？,"夏美
夏美","みちる
满","真奈美
真奈美","マミ
真美",
qlv1_51,このキャラは誰？,这个角色是谁？,"藤田
藤田","熊田
熊田","郷田
乡田","花田
花田",
qlv1_52,このキャラは誰？,这个角色是谁？,"リナ
莉娜","リサ
理沙","ナサ
纳萨","サナリィ
萨纳利",
qlv1_53,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"保志総一朗
保志总一朗","星総一郎
星总一郎","保志総次郎
保志总次郎","瀬戸総一郎
濑户总一郎",
qlv1_54,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"中原麻衣
中原麻衣","仲原舞
仲原舞","中原真衣
中原真衣","楯山麻衣
楯山麻衣",
qlv1_55,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"ゆきのさつき
雪野五月","ゆきのむつき
雪野一月","きみざわさつき
君泽五月","ゆきのかなめ
雪野要",
qlv1_56,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"かないみか
金井美香","かみなかい
上中井","かみいなか
上稻中","かかみいな
各务稻",
qlv1_57,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"田村ゆかり
田村由香里","田無ゆかり
田无由香里","田村ゆりか
田村由里香","村田ゆりか
村田由里香",
qlv1_58,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"水橋かおり
水桥香织","涼宮かおり
凉宫香织","荻上かおり
荻上香织","巴かすみ
巴霞",
qlv1_59,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"宝亀克寿
宝龟克寿","宝亀克久
宝龟克久","奉亀克寿
奉龟克寿","ラル・ジャクソン
拉尔・杰克逊",
qlv1_60,このキャラを演じた声優さんは？,这个角色的出演声优是谁？,"氷上恭子
冰上恭子","氷上共子
冰上恭子","氷上響子
冰上响子","シフォン・うさだ
雪纺・宇佐田",
qlv2_01,"愛知県の警察は､愛知県警。
では､東京都は？",,"警視庁
警视厅","警察庁
警察厅","東京都庁
东京都厅","大江戸捜査網
大江户搜查网",
qlv2_02,南井巴の母の名前は？,,"円美
圆美","一美
一美","玉美
玉美","丸美
丸美",
qlv2_03,"｢暇潰し編｣の梨花､
どにへ帰れといった？",,"東京
东京","ソレント
索雷特","田舎
乡下","無
无",
qlv2_04,"｢目明し編｣の詩音､
最後はなんで死んだ？",,"転落死
坠落死","病死
病死","中毒死
中毒死","窒息死
窒息死",
qlv2_05,公由村長の名前は？,,"喜一郎
喜一郎","又一郎
又一郎","総一郎
总一郎","喜八
喜八",
qlv2_06,詩音の苦手な食べ物は？,,"缶詰
罐头","レモン
柠檬","しいたけ
香菇","漬物
腌菜",
qlv2_07,赤坂は警察官の何？,,"キャリア
履历","推薦組
推荐组","一般採用
一般录用","出向
出向",
